service,route_id,trip_id,trip_date,stop_id,stop_name,sched_dep,pred_dep,sched_arr,pred_arr,collected_at
amtrak,NER,67,2026-02-24,BAL,Baltimore Penn Station,2026-02-24T06:04:00-05:00,,2026-02-24T06:02:00-05:00,NA,2026-02-24T10:05:35Z
amtrak,NER,67,2026-02-24,WAS,Washington Union Station,2026-02-24T07:20:00-05:00,,2026-02-24T06:54:00-05:00,NA,2026-02-24T10:05:35Z
amtrak,NER,151,2026-02-24,BAL,Baltimore Penn Station,2026-02-24T06:10:00-05:00,2026-02-24T06:08:00-05:00,2026-02-24T06:08:00-05:00,2026-02-24T06:08:00-05:00,2026-02-24T10:05:35Z
amtrak,NER,151,2026-02-24,WAS,Washington Union Station,2026-02-24T07:30:00-05:00,2026-02-24T06:58:00-05:00,2026-02-24T06:58:00-05:00,2026-02-24T06:58:00-05:00,2026-02-24T10:05:35Z
amtrak,NER,164,2026-02-24,BAL,Baltimore Penn Station,2026-02-24T10:01:00-05:00,2026-02-24T09:59:00-05:00,2026-02-24T09:59:00-05:00,2026-02-24T09:59:00-05:00,2026-02-24T10:05:35Z
amtrak,NER,164,2026-02-24,WAS,Washington Union Station,2026-02-24T09:20:00-05:00,2026-02-24T08:18:00-05:00,2026-02-24T08:18:00-05:00,2026-02-24T08:18:00-05:00,2026-02-24T10:05:35Z
amtrak,NER,67,2026-02-24,BAL,Baltimore Penn Station,2026-02-24T06:04:00-05:00,2026-02-24T06:33:00-05:00,2026-02-24T06:02:00-05:00,2026-02-24T06:33:00-05:00,2026-02-24T11:13:56Z
amtrak,NER,67,2026-02-24,WAS,Washington Union Station,2026-02-24T07:20:00-05:00,,2026-02-24T06:54:00-05:00,NA,2026-02-24T11:13:56Z
amtrak,NER,151,2026-02-24,BAL,Baltimore Penn Station,2026-02-24T06:10:00-05:00,2026-02-24T06:26:00-05:00,2026-02-24T06:08:00-05:00,2026-02-24T06:26:00-05:00,2026-02-24T11:13:56Z
amtrak,NER,151,2026-02-24,WAS,Washington Union Station,2026-02-24T07:30:00-05:00,2026-02-24T07:02:00-05:00,2026-02-24T06:58:00-05:00,2026-02-24T07:02:00-05:00,2026-02-24T11:13:56Z
amtrak,NER,162,2026-02-24,BAL,Baltimore Penn Station,2026-02-24T07:03:00-05:00,2026-02-24T07:01:00-05:00,2026-02-24T07:01:00-05:00,2026-02-24T07:01:00-05:00,2026-02-24T11:13:56Z
amtrak,NER,162,2026-02-24,WAS,Washington Union Station,2026-02-24T06:20:00-05:00,2026-02-24T06:20:00-05:00,2026-02-24T06:20:00-05:00,2026-02-24T06:20:00-05:00,2026-02-24T11:13:56Z
amtrak,NER,164,2026-02-24,BAL,Baltimore Penn Station,2026-02-24T10:01:00-05:00,2026-02-24T09:59:00-05:00,2026-02-24T09:59:00-05:00,2026-02-24T09:59:00-05:00,2026-02-24T11:13:56Z
amtrak,NER,164,2026-02-24,WAS,Washington Union Station,2026-02-24T09:20:00-05:00,2026-02-24T08:18:00-05:00,2026-02-24T08:18:00-05:00,2026-02-24T08:18:00-05:00,2026-02-24T11:13:56Z
amtrak,NER,67,2026-02-24,BAL,Baltimore Penn Station,2026-02-24T06:04:00-05:00,2026-02-24T06:33:00-05:00,2026-02-24T06:02:00-05:00,2026-02-24T06:31:00-05:00,2026-02-24T11:52:24Z
amtrak,NER,67,2026-02-24,WAS,Washington Union Station,2026-02-24T07:20:00-05:00,,2026-02-24T06:54:00-05:00,NA,2026-02-24T11:52:24Z
amtrak,NER,151,2026-02-24,BAL,Baltimore Penn Station,2026-02-24T06:10:00-05:00,2026-02-24T06:33:00-05:00,2026-02-24T06:08:00-05:00,2026-02-24T06:31:00-05:00,2026-02-24T11:52:24Z
amtrak,NER,151,2026-02-24,WAS,Washington Union Station,2026-02-24T07:30:00-05:00,2026-02-24T07:05:00-05:00,2026-02-24T06:58:00-05:00,2026-02-24T07:05:00-05:00,2026-02-24T11:52:24Z
amtrak,NER,162,2026-02-24,BAL,Baltimore Penn Station,2026-02-24T07:03:00-05:00,2026-02-24T07:05:00-05:00,2026-02-24T07:01:00-05:00,2026-02-24T07:05:00-05:00,2026-02-24T11:52:24Z
amtrak,NER,162,2026-02-24,WAS,Washington Union Station,2026-02-24T06:20:00-05:00,2026-02-24T06:20:00-05:00,2026-02-24T06:20:00-05:00,2026-02-24T06:20:00-05:00,2026-02-24T11:52:24Z
amtrak,NER,164,2026-02-24,BAL,Baltimore Penn Station,2026-02-24T10:01:00-05:00,2026-02-24T09:59:00-05:00,2026-02-24T09:59:00-05:00,2026-02-24T09:59:00-05:00,2026-02-24T11:52:24Z
amtrak,NER,164,2026-02-24,WAS,Washington Union Station,2026-02-24T09:20:00-05:00,2026-02-24T08:18:00-05:00,2026-02-24T08:18:00-05:00,2026-02-24T08:18:00-05:00,2026-02-24T11:52:24Z
amtrak,NER,67,2026-02-24,BAL,Baltimore Penn Station,2026-02-24T06:04:00-05:00,2026-02-24T06:33:00-05:00,2026-02-24T06:02:00-05:00,2026-02-24T06:31:00-05:00,2026-02-24T12:42:02Z
amtrak,NER,67,2026-02-24,WAS,Washington Union Station,2026-02-24T07:20:00-05:00,2026-02-24T07:13:00-05:00,2026-02-24T06:54:00-05:00,2026-02-24T07:13:00-05:00,2026-02-24T12:42:02Z
amtrak,NER,151,2026-02-24,BAL,Baltimore Penn Station,2026-02-24T06:10:00-05:00,2026-02-24T06:33:00-05:00,2026-02-24T06:08:00-05:00,2026-02-24T06:31:00-05:00,2026-02-24T12:42:02Z
amtrak,NER,151,2026-02-24,WAS,Washington Union Station,2026-02-24T07:30:00-05:00,2026-02-24T07:43:00-05:00,2026-02-24T06:58:00-05:00,2026-02-24T07:19:00-05:00,2026-02-24T12:42:02Z
amtrak,NER,162,2026-02-24,BAL,Baltimore Penn Station,2026-02-24T07:03:00-05:00,2026-02-24T07:10:00-05:00,2026-02-24T07:01:00-05:00,2026-02-24T07:07:00-05:00,2026-02-24T12:42:02Z
amtrak,NER,162,2026-02-24,WAS,Washington Union Station,2026-02-24T06:20:00-05:00,2026-02-24T06:20:00-05:00,2026-02-24T06:20:00-05:00,2026-02-24T06:20:00-05:00,2026-02-24T12:42:02Z
amtrak,NER,164,2026-02-24,BAL,Baltimore Penn Station,2026-02-24T10:01:00-05:00,2026-02-24T09:59:00-05:00,2026-02-24T09:59:00-05:00,2026-02-24T09:59:00-05:00,2026-02-24T12:42:02Z
amtrak,NER,164,2026-02-24,WAS,Washington Union Station,2026-02-24T09:20:00-05:00,2026-02-24T08:15:00-05:00,2026-02-24T08:18:00-05:00,2026-02-24T08:15:00-05:00,2026-02-24T12:42:02Z
